,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
348,ID 51161814,unknown,https://ekb.cian.ru/rent/flat/295002815/,Екатеринбург,rent,flat,4,23,1,39.7,629,25000,0,, Рябинина,29,Геологическая
349,ID 109832031,homeowner,https://ekb.cian.ru/rent/flat/295028372/,Екатеринбург,rent,flat,14,17,2,47.9,563,27000,0,Орджоникидзевский, Электриков,5,Машиностроителей
350,ID 15464052,unknown,https://ekb.cian.ru/rent/flat/295010194/,Екатеринбург,rent,flat,22,29,1,42.0,619,26000,0,Орджоникидзевский, Кировградская,4,Уралмаш
351,ID 97571247,homeowner,https://ekb.cian.ru/rent/flat/295001816/,Екатеринбург,rent,flat,3,22,3,70.0,500,35000,0,Автовокзал, Чапаева,72А,Чкаловская
352,ID 101184277,homeowner,https://ekb.cian.ru/rent/flat/285219944/,Екатеринбург,rent,flat,9,26,1,22.0,909,20000,0,мкр. Широкая Речка, Евгения Савкова,17А,
353,ID 15355166,homeowner,https://ekb.cian.ru/rent/flat/295040736/,Екатеринбург,rent,flat,2,2,3,65.0,538,35000,0,Орджоникидзевский, 22-го Партсъезда,11А,Уралмаш
354,ID 107948037,unknown,https://ekb.cian.ru/rent/flat/294984729/,Екатеринбург,rent,flat,15,18,1,50.0,660,33000,0,Автовокзал, Машинная,3А,Чкаловская
355,ID 102765173,homeowner,https://ekb.cian.ru/rent/flat/294727740/,Екатеринбург,rent,flat,16,18,1,40.0,750,30000,0,Автовокзал, Щорса,103,Чкаловская
356,ID 52706546,unknown,https://ekb.cian.ru/rent/flat/294991416/,Екатеринбург,rent,flat,4,6,3,60.0,616,37000,0,, Челюскинцев,29,Уральская
357,ID 107948037,unknown,https://ekb.cian.ru/rent/flat/294984482/,Екатеринбург,rent,flat,8,27,1,30.0,1166,35000,0,Верх-Исетский, Мельникова,27,Площадь 1905 года
