,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
453,Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294845752/,Новосибирск,rent,flat,4,9,1,56.0,535,30000,0,Центральный, Семьи Шамшиных,30,Площадь Ленина
454,Домой,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294536291/,Новосибирск,rent,flat,15,26,1,34.3,1282,44000,0,Кировский, Немировича-Данченко,158,Студенческая
455,Светлана Волкова,realtor,https://novosibirsk.cian.ru/rent/flat/294900714/,Новосибирск,rent,flat,8,10,1,39.0,461,18000,0,Октябрьский, Плющихинская,142/5,
456,Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/293593732/,Новосибирск,rent,flat,5,25,1,40.0,825,33000,0,Октябрьский, Добролюбова,16/1,Речной вокзал
457,Сфера,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/292668749/,Новосибирск,rent,flat,3,5,1,31.0,870,27000,0,Ленинский, Пермитина,4,Площадь Маркса
458,Андрей Каравайцев,realtor,https://novosibirsk.cian.ru/rent/flat/294628770/,Новосибирск,rent,flat,7,10,1,40.0,500,20000,0,Кировский, Петухова,164,Площадь Маркса
459,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294644136/,Новосибирск,rent,flat,15,24,1,24.0,1166,28000,0,Октябрьский, Владимира Заровного,22,Речной вокзал
460,Начало перемен,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294868039/,Новосибирск,rent,flat,8,9,1,36.0,777,28000,0,Заельцовский,Линейная ,45,
461,Дом Профи,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294212911/,Новосибирск,rent,flat,12,24,1,38.0,473,18000,0,Кировский, Петухова,162,
462,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294726464/,Новосибирск,rent,flat,2,25,1,30.4,1052,32000,0,Ленинский,,14,Студенческая
463,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294711408/,Новосибирск,rent,flat,4,9,2,74.0,608,45000,0,Октябрьский, Лескова,19,
464,ДомианНСК,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294483416/,Новосибирск,rent,flat,10,16,1,36.8,543,20000,0,Калининский, Краузе,21/1,
